Reporting starts,Reporting ends,Campaign name,Campaign ID,Campaign delivery,Results,Result indicator,Reach,Impressions,Cost per results,Ad set budget,Ad set budget type,Amount spent (INR),Objective,Frequency,Clicks (all),CPC (all) (INR),CTR (all),"Cost per 1,000 people reached (INR)","CPM (cost per 1,000 impressions) (INR)",Page engagement
2019-12-31,2019-12-31,AJ-Recruitment-Adbuddy_Boring_kalam_Ver_1.0,6149808687957,inactive,,,311,312,,Using ad set budget,0,30.98,Lead Generation,1.003215,1,30.98,0.320513,99.614148,99.294872,1
2019-12-31,2019-12-31,Max-life-Form-24-Dec-19-Ver-1.0-Srirangam,6148671691357,inactive,16,actions:onsite_conversion.lead_grouped,2233,2313,8.141875,200,Daily,130.27,Lead Generation,1.035826,105,1.240667,4.539559,58.338558,56.320796,67
2019-12-31,2019-12-31,"Panchathara-Post: ""SECOND DAY of AAHA KALYANAM S4... @Erode"" -New",6148196154757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6148159433957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148158763557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,Panchathara-Brand-Awareness-Panchathara-Jewellers,6148147788157,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148003190957,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6148002990957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6148002778157,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148002668557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147992983957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""FIRST DAY of AAHA KALYANAM S4... @Erode """,6147979968557,inactive,,,0,0,,700,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices...."" –Ver-1.0",6147820058557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,Panchathara-Brand-Awareness-Panchathara –Ver-1.0,6147819748957,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""கண் கவரும் Designer Jewels"" –Ver-1.0",6147819476757,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....-Ver- 1.0",6147818680357,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147773083957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147661119557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6147660712957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147412636157,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147411082557,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,Max-life-Form-16-Dec-19-Ver-1.0-Trichy,6147372524557,inactive,7,actions:onsite_conversion.lead_grouped,949,983,9.1842857142857,300,Daily,64.29,Lead Generation,1.035827,59,1.089661,6.002035,67.744995,65.401831,37
2019-12-31,2019-12-31,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147175149157,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147172919557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Pan-Askjuno-Post ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6146933771757,inactive,,,0,0,,150,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Pan-Askjuno-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6146933395157,inactive,,,0,0,,150,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,Focus-Design-Form-8-Dec-19-Ver-1.0-New,6145893836957,inactive,,,0,0,,500,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Adbuddy_Fervent_mcnulty
_Ver_1.0",6145165409157,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Adbuddy_Distracted_lovelace_ver_1.0,6145146866357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,AskJuno-Click-Major-Cities-19-Nov-19-Ver-1.0,6142210802557,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Ramesh-Agency-14-Nov-19-Ver-1.0,6141486836557,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Tycoon-Construction-9-Nov-19-Ver-1.0,6140614168957,inactive,6,actions:onsite_conversion.lead_grouped,6566,6740,87.141666666667,Using ad set budget,0,522.85,Lead Generation,1.0265,174,3.004885,2.581602,79.629912,77.574184,175
2019-12-31,2019-12-31,Tycoon-Interior-Bangalore-9-Nov-19-Ver-1.0,6140576449757,inactive,1,actions:onsite_conversion.lead_grouped,2435,2463,499.8,800,Daily,499.8,Lead Generation,1.011499,31,16.122581,1.258628,205.256674,202.923264,44
2019-12-31,2019-12-31,Max-life-Test-06-Nov-19-Ver-1.0,6140166342757,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,NA AJ LG Oct 25 Ver2,6138345852157,inactive,,,0,0,,1000,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,NA AJ LG Oct 22,6138024606757,archived,,,0,0,,1200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Rooten,6137475659357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,SVGI-PILOT-15-OCT-19,6136943150757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Annai-Jewellery-CBE-Test-21-Sep-19-Ver-1.0,6134017265957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,ZUCI-QE Webinar-Ver1.0-2ndBlog,6133738391557,inactive,,,0,0,,3000,Daily,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,ZUCI-QE-18-Sep-19-Ver-1.0-2ndBlog,6133645607157,archived,,,0,0,,2000,Daily,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Zuci-QE-Sep12-Ver1,6132997498957,inactive,,,0,0,,3000,Daily,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6132512605557,inactive,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-12-31,2019-12-31,SVGI-Malayalam-Onam-6-Sep-19-Ver-1.0,6132422460357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6132273379957,inactive,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-12-31,2019-12-31,"ECR - Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131995139757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,ZUCI-Fintech-Webin-3rdPartyLap-Sep2-ver2.0,6131772686757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Zuci-NoChangeinSalescopy-Text-30-Aug-19,6131762158357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Zuci-AI-USA-29-Aug-19-Approved,6131725448357,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-31,2019-12-31,Pace-Hubli- Test-18-Sep-19-Ver-1.0,6131679070157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6131666351357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131547648157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: """"",6131545676157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131489683357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131457114557,archived,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ECR-""Count the countless stars in the shine of...""",6131051068157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,ECR-Ind-beach-Party-Test-12-Aug-19-Ver-1.0,6130163223957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,ECR-Bash-on-the-beach-Test-12-Aug-19-Ver-1.0,6130133509357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""ECR No Moon Beach Party @ ECR SEA LOUNGE & BANQUETS""",6129922262557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: "" ECR No Moon Beach Party @ INJAMBAKKAM BEACH""",6129919538757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,ECR Resort-CHN-Test-6-Aug-19,6129624523757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,ECR-Poplar Sleep-CHN-Test -5-Aug-19,6129550224357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Jaya-Interiors-17-Aug-19-Ver-1.0,6129536051957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,ECR-No Moon-CHN-Test-5-Aug-19-Ver-1.0,6129529180357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: """"Powering your digital dreams"" """,6129496196757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""ECR Make your holidays pleasant, Memorable and fun...""",6129439533357,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""ECR NO MOON BEACH PARTY @ ECR SEA LOUNGE AND BANQUETS...""",6129436176357,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,"Post: ""ECR FIRST TIME IN CHENNAI...Party on the sea lounge &...""",6129436057957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-31,2019-12-31,Tycoon Interiors-Test-26-July-19,6128976289157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Glitz & Glamz -Course-Test-26-July-19,6128739473757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,AskJuno-LG-International-25-July-19,6128620529357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Glitz & Glamz-Test-24-July-19,6128536702957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Tycoon Interiors- test-24-July-19,6128531789957,archived,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,Focus-Des-Form-28-June-19 –Ver-1.0,6126109632957,inactive,,,0,0,,500,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,SUBHAM-HOMES-Form-07-June-19-Ver-1.0,6124202743557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,SVGI-CBE-MALAYALAM-23-May-19-OWN,6122773029357,inactive,,,0,0,,200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,SRG-HALL-16-MAY-19,6122121746157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,OLIVEL-FORM-02-MAY-19-OWN,6120740336557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,QTECH-SERVICES-PONDY-28-APR-19,6120387714957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,SVGI-CBE-Form-24-Apr-19-OWN,6119982451557,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,HAPPY-HOMES-CBE-FORM-24-FEB-19-VER-1.1,6114680764357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-31,2019-12-31,AskJuno-Lead-Generation-Major-cities-24-01-19,6112114497357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,AJ-Recruitment-Adbuddy_Boring_kalam_Ver_1.0,6149808687957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,Max-life-Form-24-Dec-19-Ver-1.0-Srirangam,6148671691357,inactive,36,actions:onsite_conversion.lead_grouped,3884,4158,5.5927777777778,200,Daily,201.34,Lead Generation,1.070546,175,1.150514,4.208754,51.838311,48.422318,105
2019-12-30,2019-12-30,"Panchathara-Post: ""SECOND DAY of AAHA KALYANAM S4... @Erode"" -New",6148196154757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6148159433957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148158763557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,Panchathara-Brand-Awareness-Panchathara-Jewellers,6148147788157,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148003190957,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6148002990957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6148002778157,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6148002668557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147992983957,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""FIRST DAY of AAHA KALYANAM S4... @Erode """,6147979968557,inactive,,,0,0,,700,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices...."" –Ver-1.0",6147820058557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,Panchathara-Brand-Awareness-Panchathara –Ver-1.0,6147819748957,inactive,,,0,0,,Using ad set budget,0,0,Brand Awareness,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""கண் கவரும் Designer Jewels"" –Ver-1.0",6147819476757,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....-Ver- 1.0",6147818680357,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147773083957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147661119557,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""கண் கவரும் Designer Jewels""",6147660712957,inactive,,,0,0,,800,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ Exciting prices....""",6147412636157,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147411082557,inactive,,,0,0,,1000,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,Max-life-Form-16-Dec-19-Ver-1.0-Trichy,6147372524557,inactive,18,actions:onsite_conversion.lead_grouped,1602,1672,5.6433333333333,300,Daily,101.58,Lead Generation,1.043695,107,0.949346,6.399522,63.40824,60.753589,65
2019-12-30,2019-12-30,"Panchathara-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6147175149157,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Panchathara-Post: ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6147172919557,inactive,,,0,0,,300,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Pan-Askjuno-Post ""ஆச்சர்யத்தின் ஆரம்பம்... உங்கள் எதிர்பார்ப்பை...""",6146933771757,inactive,,,0,0,,150,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Pan-Askjuno-Post: ""Exotic Gold Designer jewels @ exciting prices....""",6146933395157,inactive,,,0,0,,150,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,Focus-Design-Form-8-Dec-19-Ver-1.0-New,6145893836957,inactive,,,0,0,,500,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Adbuddy_Fervent_mcnulty
_Ver_1.0",6145165409157,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Adbuddy_Distracted_lovelace_ver_1.0,6145146866357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,AskJuno-Click-Major-Cities-19-Nov-19-Ver-1.0,6142210802557,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Ramesh-Agency-14-Nov-19-Ver-1.0,6141486836557,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,Tycoon-Construction-9-Nov-19-Ver-1.0,6140614168957,inactive,7,actions:onsite_conversion.lead_grouped,9268,9533,113.37285714286,Using ad set budget,0,793.61,Lead Generation,1.028593,224,3.542902,2.349733,85.629046,83.248715,288
2019-12-30,2019-12-30,Tycoon-Interior-Bangalore-9-Nov-19-Ver-1.0,6140576449757,inactive,4,actions:onsite_conversion.lead_grouped,4926,5184,199.84,800,Daily,799.36,Lead Generation,1.052375,76,10.517895,1.466049,162.27365,154.197531,103
2019-12-30,2019-12-30,Max-life-Test-06-Nov-19-Ver-1.0,6140166342757,inactive,,,0,0,,300,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,NA AJ LG Oct 25 Ver2,6138345852157,inactive,,,0,0,,1000,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,NA AJ LG Oct 22,6138024606757,archived,,,0,0,,1200,Daily,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,Rooten,6137475659357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,SVGI-PILOT-15-OCT-19,6136943150757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Annai-Jewellery-CBE-Test-21-Sep-19-Ver-1.0,6134017265957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,ZUCI-QE Webinar-Ver1.0-2ndBlog,6133738391557,inactive,,,0,0,,3000,Daily,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,ZUCI-QE-18-Sep-19-Ver-1.0-2ndBlog,6133645607157,archived,,,0,0,,2000,Daily,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Zuci-QE-Sep12-Ver1,6132997498957,inactive,,,0,0,,3000,Daily,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6132512605557,inactive,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-12-30,2019-12-30,SVGI-Malayalam-Onam-6-Sep-19-Ver-1.0,6132422460357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6132273379957,inactive,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-12-30,2019-12-30,"ECR - Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131995139757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,ZUCI-Fintech-Webin-3rdPartyLap-Sep2-ver2.0,6131772686757,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Zuci-NoChangeinSalescopy-Text-30-Aug-19,6131762158357,archived,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Zuci-AI-USA-29-Aug-19-Approved,6131725448357,inactive,,,0,0,,Using ad set budget,0,0,Traffic,0,0,0,0,0,0,
2019-12-30,2019-12-30,Pace-Hubli- Test-18-Sep-19-Ver-1.0,6131679070157,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""Sleep joyfully as sparkling waves caress your legs.""",6131666351357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131547648157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: """"",6131545676157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131489683357,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""Tireless enjoyment on the hand of nature @ ECR...""",6131457114557,archived,,,0,0,,Using ad set budget,0,0,Messages,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ECR-""Count the countless stars in the shine of...""",6131051068157,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,ECR-Ind-beach-Party-Test-12-Aug-19-Ver-1.0,6130163223957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,ECR-Bash-on-the-beach-Test-12-Aug-19-Ver-1.0,6130133509357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: ""ECR No Moon Beach Party @ ECR SEA LOUNGE & BANQUETS""",6129922262557,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: "" ECR No Moon Beach Party @ INJAMBAKKAM BEACH""",6129919538757,inactive,,,0,0,,200,Lifetime,0,Engagement,0,0,0,0,0,0,
2019-12-30,2019-12-30,ECR Resort-CHN-Test-6-Aug-19,6129624523757,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,ECR-Poplar Sleep-CHN-Test -5-Aug-19,6129550224357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,Jaya-Interiors-17-Aug-19-Ver-1.0,6129536051957,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,ECR-No Moon-CHN-Test-5-Aug-19-Ver-1.0,6129529180357,inactive,,,0,0,,Using ad set budget,0,0,Lead Generation,0,0,0,0,0,0,
2019-12-30,2019-12-30,"Post: """"Powering your digital dreams"" """,6129496196757,inactive,,,0,0,,Using ad set budget,0,0,Engagement,0,0,0,0,0,0,
