Campaign name,Ad set name,Ad name,Age,Gender,Objective,Day,Reach,Impressions,Frequency,Amount spent (INR),Result Type,Results,Cost per result,Clicks (all),CPC (all),CTR (all),Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",Post engagement,Reporting starts,Reporting ends
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,25-34,male,LEAD_GENERATION,2021-11-06,316,348,1.1012658227848,138.96,On-Facebook leads,1,138.96,4,34.74,1.14942529,2,69.48,399.31034483,2,2021-11-06,2021-11-06
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,25-34,female,LEAD_GENERATION,2021-11-06,41,41,1,4.66,On-Facebook leads,1,4.66,2,2.33,4.87804878,1,4.66,113.65853659,1,2021-11-06,2021-11-06
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,25-34,male,LEAD_GENERATION,2021-11-06,398,412,1.035175879397,222.4,On-Facebook leads,2,111.2,11,20.21818182,2.66990291,3,74.13333333,539.80582524,4,2021-11-06,2021-11-06
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,male,LEAD_GENERATION,2021-11-06,647,659,1.0185471406491,141.67,On-Facebook leads,1,141.67,6,23.61166667,0.91047041,2,70.835,214.97723824,2,2021-11-06,2021-11-06
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,35-44,male,LEAD_GENERATION,2021-11-06,232,253,1.0905172413793,141.27,On-Facebook leads,2,70.635,8,17.65875,3.16205534,3,47.09,558.37944664,4,2021-11-06,2021-11-06
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,45-54,male,LEAD_GENERATION,2021-11-06,209,235,1.1244019138756,114.64,On-Facebook leads,2,57.32,9,12.73777778,3.82978723,2,57.32,487.82978723,4,2021-11-06,2021-11-06
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,45-54,male,LEAD_GENERATION,2021-11-06,61,62,1.016393442623,14.1,On-Facebook leads,1,14.1,6,2.35,9.67741935,1,14.1,227.41935484,1,2021-11-06,2021-11-06
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-06,360,369,1.025,64.51,On-Facebook leads,1,64.51,5,12.902,1.35501355,1,64.51,174.82384824,1,2021-11-06,2021-11-06
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,female,LEAD_GENERATION,2021-11-05,142,148,1.0422535211268,37.037027466244,On-Facebook leads,1,37.037027466244,6,6.17283791,4.05405405,2,18.51851373,250.25018558,2,2021-11-05,2021-11-05
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,female,LEAD_GENERATION,2021-11-05,499,499,1,85.4,On-Facebook leads,1,85.4,5,17.08,1.00200401,1,85.4,171.14228457,1,2021-11-05,2021-11-05
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,55-64,male,LEAD_GENERATION,2021-11-05,138,150,1.0869565217391,28.417719238409,On-Facebook leads,1,28.417719238409,7,4.05967418,4.66666667,2,14.20885962,189.45146159,3,2021-11-05,2021-11-05
SVGI-TN&KL-27-Oct-21,SVGI-KL-21-65-30-Oct-21,SVGI-English-Image-30-Oct-21-Kerala,18-24,male,LEAD_GENERATION,2021-11-05,1671,1769,1.0586475164572,364.51740866103,On-Facebook leads,3,121.50580288701,15,24.30116058,0.84793669,5,72.90348173,206.058456,7,2021-11-05,2021-11-05
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-05,631,647,1.0253565768621,130.37953594286,On-Facebook leads,1,130.37953594286,6,21.72992266,0.92735703,2,65.18976797,201.51396591,2,2021-11-05,2021-11-05
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-05,451,481,1.0665188470067,83.053334269607,On-Facebook leads,1,83.053334269607,8,10.38166678,1.66320166,3,27.68444476,172.66805461,3,2021-11-05,2021-11-05
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,35-44,female,LEAD_GENERATION,2021-11-04,76,76,1,10.540024933853,On-Facebook leads,1,10.540024933853,6,1.75667082,7.89473684,1,10.54002493,138.6845386,1,2021-11-04,2021-11-04
SVGI-TN&KL-27-Oct-21,SVGI-KL-21-65-30-Oct-21,SVGI-English-Image-30-Oct-21-Kerala,25-34,male,LEAD_GENERATION,2021-11-04,626,664,1.0607028753994,126.02270955053,On-Facebook leads,1,126.02270955053,6,21.00378493,0.90361446,2,63.01135478,189.79323727,2,2021-11-04,2021-11-04
SVGI-TN&KL-27-Oct-21,SVGI-KL-21-65-30-Oct-21,SVGI-English-Image-30-Oct-21-Kerala,18-24,male,LEAD_GENERATION,2021-11-04,1856,2007,1.0813577586207,444.10430843987,On-Facebook leads,2,222.05215421993,12,37.00869237,0.59790732,7,63.44347263,221.27768233,9,2021-11-04,2021-11-04
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,25-34,female,LEAD_GENERATION,2021-11-04,193,203,1.0518134715026,39.541180186866,On-Facebook leads,1,39.541180186866,6,6.5901967,2.95566502,2,19.77059009,194.78413885,2,2021-11-04,2021-11-04
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,45-54,male,LEAD_GENERATION,2021-11-04,1187,1304,1.0985678180286,154.55373054664,On-Facebook leads,3,51.517910182213,51,3.0304653,3.91104294,12,12.87947755,118.5227995,12,2021-11-04,2021-11-04
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,25-34,male,LEAD_GENERATION,2021-11-04,1953,2076,1.062980030722,317.45955668067,On-Facebook leads,1,317.45955668067,33,9.61998657,1.58959538,6,52.90992611,152.9188616,6,2021-11-04,2021-11-04
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-04,1330,1432,1.0766917293233,169.81,On-Facebook leads,1,169.81,27,6.28925926,1.88547486,3,56.60333333,118.58240223,4,2021-11-04,2021-11-04
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-04,1636,1726,1.0550122249389,247.84,On-Facebook leads,1,247.84,39,6.35487179,2.25955968,10,24.784,143.59212051,12,2021-11-04,2021-11-04
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-03,1861,1988,1.068242880172,243.01,On-Facebook leads,1,243.01,24,10.12541667,1.20724346,6,40.50166667,122.23843058,7,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-03,1496,1614,1.0788770053476,209.7,On-Facebook leads,1,209.7,28,7.48928571,1.73482032,7,29.95714286,129.92565056,8,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,female,LEAD_GENERATION,2021-11-03,163,179,1.0981595092025,18.12,On-Facebook leads,1,18.12,3,6.04,1.67597765,1,18.12,101.22905028,1,2021-11-03,2021-11-03
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,male,LEAD_GENERATION,2021-11-03,1884,1989,1.0557324840764,382.72,On-Facebook leads,1,382.72,25,15.3088,1.25691302,6,63.78666667,192.41830065,6,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,female,LEAD_GENERATION,2021-11-03,168,178,1.0595238095238,30.13,On-Facebook leads,1,30.13,6,5.02166667,3.37078652,2,15.065,169.26966292,2,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-03,574,615,1.0714285714286,90.63,On-Facebook leads,1,90.63,9,10.07,1.46341463,2,45.315,147.36585366,4,2021-11-03,2021-11-03
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,65+,male,LEAD_GENERATION,2021-11-02,79,92,1.1645569620253,10.46,On-Facebook leads,1,10.46,11,0.95090909,11.95652174,2,5.23,113.69565217,2,2021-11-02,2021-11-02
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-02,1341,1483,1.1058911260254,201.78,On-Facebook leads,4,50.445,50,4.0356,3.37154417,10,20.178,136.06203641,11,2021-11-02,2021-11-02
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,45-54,male,LEAD_GENERATION,2021-11-02,267,285,1.0674157303371,45.97,On-Facebook leads,1,45.97,14,3.28357143,4.9122807,3,15.32333333,161.29824561,3,2021-11-02,2021-11-02
